Participant ID,Date ,Survey Start,Survey End,Cycle Cal Start,Cycle Cal End,MATB Train Start,MATB Train End,Cycle Start,Cycle End,Rest 1 Start,Rest 1 End,Base Start,Base End,Trial 1 Start,Trial 1 End,Rest 2 Start,Rest 2 End,Trial 2 Start,Trial 2 End,Recovery Start,Recovery End,Debrief Start,Debrief End,Arrival time ,Start time ,End time,Experimental Time,Total Time,,,,
1,8/6/2024,-999,-999,-999,-999,12:30:33 PM,12:36:46 PM,12:45:00 PM,12:49:00 PM,12:50:00 PM,1:00:00 PM,1:01:00 PM,1:12:00 PM,-999,-999,1:48:03 PM,1:58:00 PM,-999,-999,2:10:00 PM,2:29:00 PM,2:29:00 PM,2:42:00 PM,12:05:00 PM,12:15:00 PM,2:42:00 PM,2:27:00,2:37:00,,,,
2,8/8/2024,-999,-999,-999,-999,12:29:00 PM,12:40:00 PM,12:47:00 PM,12:51:00 PM,12:56:00 PM,1:06:00 PM,1:09:00 PM,1:17:00 PM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0:00:00,0:00:00,,,,
3,8/20/2024,-999,-999,-999,-999,2:23:00 PM,2:34:00 PM,2:42:00 PM,2:49:00 PM,2:51:00 PM,3:03:00 PM,3:05:00 PM,3:14:00 PM,3:20:00 PM,3:28:00 PM,3:32:00 PM,3:41:00 PM,3:45:00 PM,3:53:00 PM,3:56:00 PM,4:13:00 PM,4:13:00 PM,4:23:00 PM,1:47:00 PM,2:02:00 PM,4:23:00 PM,2:21:00,2:36:00,,,,
4,9/24/2024,-999,-999,-999,-999,-999,-999,1:31:00 PM,1:36:00 PM,1:55:00 PM,2:08:00 PM,2:11:00 PM,2:19:00 PM,2:31:00 PM,2:40:00 PM,2:43:00 PM,2:52:00 PM,2:59:00 PM,3:06:00 PM,-999,-999,-999,-999,12:35:00 PM,12:53:00 PM,3:10:00 PM,2:17:00,2:35:00,,,,
5,9/26/2024,-999,-999,-999,-999,-999,-999,1:41:00 PM,1:47:00 PM,1:47:00 PM,1:57:00 PM,2:01:00 PM,2:09:00 PM,2:14:55 PM,2:23:04 PM,2:26:00 PM,2:33:00 PM,2:37:36 PM,2:45:42 PM,-999,3:05:00 PM,-999,-999,-999,12:58:00 PM,3:12:00 PM,2:14:00,23991:12:00,,,,
6,10/8/2024,1:06:00 PM,1:08:00 PM,-999,-999,1:10:00 PM,1:22:00 PM,-999,-999,1:24:00 PM,1:34:00 PM,1:38:00 PM,1:47:00 PM,1:52:00 PM,2:00:32 PM,2:04:00 PM,2:12:00 PM,2:15:00 PM,2:23:27 PM,2:26:00 PM,2:46:00 PM,2:47:00 PM,2:51:00 PM,12:31:00 PM,12:41:00 PM,2:53:00 PM,2:12:00,2:22:00,,,,
7,10/9/2024,2:30:00 PM,2:33:00 PM,-999,-999,2:36:00 PM,2:50:00 PM,-999,-999,2:57:00 PM,3:07:00 PM,3:09:00 PM,3:16:00 PM,3:21:31 PM,3:29:27 PM,3:35:15 PM,3:43:15 PM,3:46:04 PM,3:54:03 PM,3:57:13 PM,4:10:22 PM,4:10:00 PM,4:17:00 PM,2:05:00 PM,2:19:00 PM,4:21:00 PM,2:02:00,2:16:00,,,,
8,10/14/2024,2:55:00 PM,2:58:00 PM,2:59:00 PM,3:10:15 PM,3:11:27 PM,3:25:18 PM,3:26:01 PM,3:31:01 PM,3:34:07 PM,3:42:07 PM,3:45:30 PM,3:53:34 PM,4:01:19 PM,4:09:24 PM,4:14:07 PM,4:22:29 PM,4:25:01 PM,4:33:01 PM,4:38:00 PM,4:55:00 PM,4:56:00 PM,5:00:00 PM,2:32:00 PM,2:45:00 PM,5:00:00 PM,2:15:00,2:28:00,,,,
9,10/15/2024,1:28:00 PM,1:31:00 PM,1:33:00 PM,1:41:30 PM,1:46:05 PM,1:58:00 PM,1:58:30 PM,2:03:30 PM,2:04:35 PM,2:14:35 PM,2:17:42 PM,2:25:50 PM,2:31:39 PM,2:39:40 PM,2:42:50 PM,2:51:45 AM,2:54:28 PM,3:02:28 PM,3:06:30 PM,3:21:30 PM,3:22:00 PM,3:25:00 PM,1:00:00 PM,1:15:00 PM,3:25:00 PM,2:10:00,2:25:00,,,,
10,10/16/2024,1:47:00 AM,1:50:00 PM,1:51:00 PM,1:53:00 PM,1:53:00 PM,2:06:00 PM,2:09:00 PM,2:14:00 PM,2:15:00 PM,2:23:00 PM,2:25:27 PM,2:33:27 PM,2:40:08 PM,2:48:10 PM,2:51:40 PM,3:00:04 PM,3:03:01 PM,3:11:05 PM,3:14:09 PM,3:33:37 PM,3:34:00 PM,3:40:00 PM,1:32:00 PM,1:37:00 PM,3:40:00 PM,2:03:00,2:08:00,,,,
